Orgyia,leucostigma,Whitemarked tussock moth,Chamaecyparis,
Orgyia,leucostigma,Whitemarked tussock moth,Cornus,
Orgyia,leucostigma,Whitemarked tussock moth,Juniperus,
Orgyia,leucostigma,Whitemarked tussock moth,Tsuga,
Pyrisitia,lisa,Little yellow,Amphicarpaea,
Fagitana,littera,Marsh fern moth,Woodwardia,
Nemoria,lixaria,Red-bordered emerald,Comptonia,
Actias,luna,Luna moth,Platanus,
Actias,luna,Luna moth,Rhus,
Parapoynx,maculalis,Polymorphic pondweed moth,Orontium,
Eurytides,marcellus,Zebra swallowtail,Asimina,
Dichomeris,marginella,Juniper webber moth,Juniperus,
Clepsis,melaleucana,Black-patched clepsis moth,Caulophyllum,
Clepsis,melaleucana,Black-patched clepsis moth,Podophyllum,
Eupithecia,miserulata,Common eupithacia,Chamaecyparis,
Eupithecia,miserulata,Common eupithacia,Chrysopsis,
Eupithecia,miserulata,Common eupithacia,Zizia,
Macaria,multilineata,Many-lined angle,Chamaecyparis,
Macaria,multilineata,Many-lined angle,Juniperus,
Papaipema,nebris,Stalk border,Asclepias,
Papaipema,nebris,Stalk border,Phlox,
Papaipema,nelita,Coneflower borer,Rudbeckia,
Callophrys,niphon,Pine elfin,Juniperus,
Eugonobapta,nivosaria,Snowy geometer,Caulophyllum,
Acronicta,noctivaga,Night-wandering dagger moth,Apocynum,
Xestia,normanianus,Norman's dart,Comptonia,
Xylena,nupera,Red swordgrass moth,Comandra,
Bellura,obliqua,Cattail border moth,Sparganium,
Bellura,obliqua,Cattail border moth,Symplocarpus,
Elophila,obliteralis,Waterlily leafcutter moth,Eleocharis,
Elophila,obliteralis,Waterlily leafcutter moth,Orontium,
Capsula,oblonga,Oblong sedge borer moth,Scirpus,
Patalene,olyzonaria,Juniper geometer,Juniperus,
Cycnia,oregonensis,Oregon cycnia,Apocynum,
Utetheisa,ornatrix,Ornate moth,Crotalaria,
Choristoneura,parallela,Spotted fireworm moth,Sarracenia,
Grammia,parthenice,Parthenice tiger moth,Vernonia,
Platarctia,parthenos,St. Lawrence tiger moth,Apocynum,
Brenthia,pavoncella,Peacock brenthia moth,Amphicarpaea,
Ostrinia,penitalis,American lotus borer,Apocynum,
Ledaea,perditalis,Lost owlet,Scirpus,
Campaea,perlata,Pale beauty,Tsuga,
Heliothis,phloxiphaga,Spotted straw sun moth,Phlox,
Melanchra,picta,Painted arches,Apocynum,
Danaus,plexippus,Monarch,Asclepias,
Talponia,plummeriana,Pawpaw peduncle borer,Asimina,
Glena,plumosaria,Cedar grey,Juniperus,
Antheraea,polyphemus,Polyphemus moth,Cornus,
Papilio,polyxenes,Black swallowtail,Cicuta,
Papilio,polyxenes,Black swallowtail,Eryngium,
Papilio,polyxenes,Black swallowtail,Osmorhiza,
Papilio,polyxenes,Black swallowtail,Taenidia,
Papilio,polyxenes,Black swallowtail,Zizia,
Citheronia,regalis,Royal walnut moth,Cornus,
Citheronia,regalis,Royal walnut moth,Platanus,
Citheronia,regalis,Royal walnut moth,Rhus,
Acronicta,retardata,Bantam maple dagger,Quercus,
Choristoneura,rosaceana,Oblique-banded leafroller moth,Cercis,
Choristoneura,rosaceana,Oblique-banded leafroller moth,Comandra,
